Date,Close
2/12/2019 16:00:00,44.62
2/13/2019 16:00:00,43.86
2/14/2019 16:00:00,42.9
2/15/2019 16:00:00,42.87
2/19/2019 16:00:00,43.24
2/20/2019 16:00:00,43.42
2/21/2019 16:00:00,43.07
2/22/2019 16:00:00,44.18
2/25/2019 16:00:00,44.16
2/26/2019 16:00:00,44.02
2/27/2019 16:00:00,43.6
2/28/2019 16:00:00,42.81
3/1/2019 16:00:00,42.64
3/4/2019 16:00:00,43.8
3/5/2019 16:00:00,46.57
3/6/2019 16:00:00,45.93
3/7/2019 16:00:00,44.45
3/8/2019 16:00:00,43.63
3/11/2019 16:00:00,45.53
3/12/2019 16:00:00,45.73
3/13/2019 16:00:00,45.62
3/14/2019 16:00:00,45.5
3/15/2019 16:00:00,45.96
3/18/2019 16:00:00,46.84
3/19/2019 16:00:00,47.06
3/20/2019 16:00:00,47
3/21/2019 16:00:00,46.9
3/22/2019 16:00:00,45.26
3/25/2019 16:00:00,44.98
3/26/2019 16:00:00,44.82
3/27/2019 16:00:00,44.98
3/28/2019 16:00:00,45.07
3/29/2019 16:00:00,45.98
4/1/2019 16:00:00,47.17
4/2/2019 16:00:00,46.87
4/3/2019 16:00:00,48
4/4/2019 16:00:00,48.05
4/5/2019 16:00:00,48.67
4/8/2019 16:00:00,48.61
4/9/2019 16:00:00,48.64
4/10/2019 16:00:00,50.4
4/11/2019 16:00:00,49.6
4/12/2019 16:00:00,50.19
4/15/2019 16:00:00,49.3
4/16/2019 16:00:00,50.3
4/17/2019 16:00:00,50.27
4/18/2019 16:00:00,50.37
4/22/2019 16:00:00,49.79
4/23/2019 16:00:00,50.2
4/24/2019 16:00:00,49.58
4/25/2019 16:00:00,48.65
4/26/2019 16:00:00,49.35
4/29/2019 16:00:00,49.7
4/30/2019 16:00:00,49.24
5/1/2019 16:00:00,49.1
5/2/2019 16:00:00,49.22
5/3/2019 16:00:00,49.76
5/6/2019 16:00:00,48.3
5/7/2019 16:00:00,47.46
5/8/2019 16:00:00,49.06
5/9/2019 16:00:00,47.74
5/10/2019 16:00:00,48.46
5/13/2019 16:00:00,46.68
5/14/2019 16:00:00,47.07
5/15/2019 16:00:00,46.53
5/16/2019 16:00:00,46.8
5/17/2019 16:00:00,44.78
5/20/2019 16:00:00,42.7
5/21/2019 16:00:00,43.34
5/22/2019 16:00:00,42.96
5/23/2019 16:00:00,41.52
5/24/2019 16:00:00,40.86
5/28/2019 16:00:00,41.12
5/29/2019 16:00:00,41.45
5/30/2019 16:00:00,41.59
5/31/2019 16:00:00,41.76
6/3/2019 16:00:00,42.78
6/4/2019 16:00:00,42.39
6/5/2019 16:00:00,41.81
6/6/2019 16:00:00,42.11
6/7/2019 16:00:00,42.81
6/10/2019 16:00:00,43.44
6/11/2019 16:00:00,43.9
6/12/2019 16:00:00,42.78
6/13/2019 16:00:00,42.39
6/14/2019 16:00:00,41.77
6/17/2019 16:00:00,41.92
6/18/2019 16:00:00,43.83
6/19/2019 16:00:00,44.65
6/20/2019 16:00:00,45.49
6/21/2019 16:00:00,45.43
6/24/2019 16:00:00,45.15
6/25/2019 16:00:00,43.94
6/26/2019 16:00:00,44.95
6/27/2019 16:00:00,45.36
6/28/2019 16:00:00,45.26
7/1/2019 16:00:00,46.48
7/2/2019 16:00:00,46.21
7/3/2019 13:00:00,46.16
7/5/2019 16:00:00,45.65
7/8/2019 16:00:00,44.84
7/9/2019 16:00:00,45.02
7/10/2019 16:00:00,45.56
7/11/2019 16:00:00,45.35
7/12/2019 16:00:00,45.42
7/15/2019 16:00:00,46.1
7/16/2019 16:00:00,46.1
7/17/2019 16:00:00,45.97
7/18/2019 16:00:00,45.55
7/19/2019 16:00:00,45.73
7/22/2019 16:00:00,45.51
7/23/2019 16:00:00,46.16
7/24/2019 16:00:00,46.9
7/25/2019 16:00:00,47.17
7/26/2019 16:00:00,47.36
7/29/2019 16:00:00,47.53
7/30/2019 16:00:00,47.17
7/31/2019 16:00:00,46.5
8/1/2019 16:00:00,45.68
8/2/2019 16:00:00,44.89
8/5/2019 16:00:00,42.33
8/6/2019 16:00:00,42.79
8/7/2019 16:00:00,43.4
8/8/2019 16:00:00,43.84
8/9/2019 16:00:00,42.99
8/12/2019 16:00:00,42.77
8/13/2019 16:00:00,43.36
8/14/2019 16:00:00,41.48
8/15/2019 16:00:00,41.78
8/16/2019 16:00:00,41.89
8/19/2019 16:00:00,42.74
8/20/2019 16:00:00,42.22
8/21/2019 16:00:00,42.5
8/22/2019 16:00:00,42.1
8/23/2019 16:00:00,41.36
8/26/2019 16:00:00,41.26
8/27/2019 16:00:00,41.24
8/28/2019 16:00:00,40.58
8/29/2019 16:00:00,40.9
8/30/2019 16:00:00,41.27
9/3/2019 16:00:00,42.33
9/4/2019 16:00:00,43.62
9/5/2019 16:00:00,43.71
9/6/2019 16:00:00,43.78
9/9/2019 16:00:00,43.76
9/10/2019 16:00:00,43.35
9/11/2019 16:00:00,44.13
9/12/2019 16:00:00,44.45
9/13/2019 16:00:00,44.59
9/16/2019 16:00:00,43.97
9/17/2019 16:00:00,44.14
9/18/2019 16:00:00,43.47
9/19/2019 16:00:00,43.16
9/20/2019 16:00:00,42.77
9/23/2019 16:00:00,42.87
9/24/2019 16:00:00,42.27
9/25/2019 16:00:00,42.25
9/26/2019 16:00:00,41.99
9/27/2019 16:00:00,40.89
9/30/2019 16:00:00,41.63
10/1/2019 16:00:00,41.48
10/2/2019 16:00:00,41.09
10/3/2019 16:00:00,41.68
10/4/2019 16:00:00,41.42
10/7/2019 16:00:00,41
10/8/2019 16:00:00,40.66
10/9/2019 16:00:00,40.56
10/10/2019 16:00:00,40.93
10/11/2019 16:00:00,41.61
10/14/2019 16:00:00,41.49
10/15/2019 16:00:00,42.09
10/16/2019 16:00:00,41.88
10/17/2019 16:00:00,42.05
10/18/2019 16:00:00,41.65
10/21/2019 16:00:00,41.55
10/22/2019 16:00:00,41.29
10/23/2019 16:00:00,40.59
10/24/2019 16:00:00,40.39
10/25/2019 16:00:00,40.62
10/28/2019 16:00:00,41.1
10/29/2019 16:00:00,40.15
10/30/2019 16:00:00,40.37
10/31/2019 16:00:00,40.5
11/1/2019 16:00:00,41.09
11/4/2019 16:00:00,41.97
11/5/2019 16:00:00,42.38
11/6/2019 16:00:00,42.5
11/7/2019 16:00:00,42.72
11/8/2019 16:00:00,41.79
11/11/2019 16:00:00,41.69
11/12/2019 16:00:00,42.2
11/13/2019 16:00:00,40.74
11/14/2019 16:00:00,40.88
11/15/2019 16:00:00,40.96
11/18/2019 16:00:00,41.91
11/19/2019 16:00:00,42.82
11/20/2019 16:00:00,42.45
11/21/2019 16:00:00,42.33
11/22/2019 16:00:00,42.6
11/25/2019 16:00:00,43.62
11/26/2019 16:00:00,42.99
11/27/2019 16:00:00,42.9
11/29/2019 13:00:00,42.15
12/2/2019 16:00:00,41.9
12/3/2019 16:00:00,41.69
12/4/2019 16:00:00,42.29
12/5/2019 16:00:00,42.21
12/6/2019 16:00:00,42.74
12/9/2019 16:00:00,42.55
12/10/2019 16:00:00,43.08
12/11/2019 16:00:00,43.96
12/12/2019 16:00:00,45.78
12/13/2019 16:00:00,45.84
12/16/2019 16:00:00,46.36
12/17/2019 16:00:00,47.68
12/18/2019 16:00:00,48.43
12/19/2019 16:00:00,48.29
12/20/2019 16:00:00,48.15
12/23/2019 16:00:00,48.46
12/24/2019 13:00:00,48.34
12/26/2019 16:00:00,48.81
12/27/2019 16:00:00,49.24
12/30/2019 16:00:00,48.62
12/31/2019 16:00:00,48.01
1/2/2020 16:00:00,49.88
1/3/2020 16:00:00,49.03
1/6/2020 16:00:00,48.77
1/7/2020 16:00:00,49.78
1/8/2020 16:00:00,49.65
1/9/2020 16:00:00,50.48
1/10/2020 16:00:00,51.43
1/13/2020 16:00:00,52.31
1/14/2020 16:00:00,51.39
1/15/2020 16:00:00,51.17
1/16/2020 16:00:00,51.55
1/17/2020 16:00:00,51.6
1/21/2020 16:00:00,49.21
1/22/2020 16:00:00,49.88
1/23/2020 16:00:00,49.85
1/24/2020 16:00:00,48.93
1/27/2020 16:00:00,47.42
1/28/2020 16:00:00,48.22
1/29/2020 16:00:00,49.53
1/30/2020 16:00:00,49.08
1/31/2020 16:00:00,47.91
2/3/2020 16:00:00,49.44
2/4/2020 16:00:00,51.1
2/5/2020 16:00:00,50.84
2/6/2020 16:00:00,51.42
2/7/2020 16:00:00,51.05
2/10/2020 16:00:00,51.96
2/11/2020 16:00:00,52.7
2/12/2020 16:00:00,53.49
2/13/2020 16:00:00,53.52
2/14/2020 16:00:00,53.3
2/18/2020 16:00:00,52.85
2/19/2020 16:00:00,53.2
2/20/2020 16:00:00,52.26
2/21/2020 16:00:00,51.47
2/24/2020 16:00:00,49.41
2/25/2020 16:00:00,50.41
2/26/2020 16:00:00,51.05
2/27/2020 16:00:00,49.84
2/28/2020 16:00:00,49.65
3/2/2020 16:00:00,50.22
3/3/2020 16:00:00,50.19
3/4/2020 16:00:00,51.23
3/5/2020 16:00:00,51.68
3/6/2020 16:00:00,50.09
3/9/2020 16:00:00,47.76
3/10/2020 16:00:00,49.56
3/11/2020 16:00:00,47.63
3/12/2020 16:00:00,43.68
3/13/2020 16:00:00,46.24
3/16/2020 16:00:00,42.06
3/17/2020 16:00:00,44.54
3/18/2020 16:00:00,42.28
3/19/2020 16:00:00,45.3
3/20/2020 16:00:00,45.25
3/23/2020 16:00:00,46.42
3/24/2020 16:00:00,48.42
3/25/2020 16:00:00,49.25
3/26/2020 16:00:00,51.1
3/27/2020 16:00:00,48.55
3/30/2020 16:00:00,49.64
3/31/2020 16:00:00,49.09
4/1/2020 16:00:00,47.06
4/2/2020 16:00:00,48.82
4/3/2020 16:00:00,47.81
4/6/2020 16:00:00,49.94
4/7/2020 16:00:00,49.47
4/8/2020 16:00:00,50.15
4/9/2020 16:00:00,49.47
4/13/2020 16:00:00,49.8
4/14/2020 16:00:00,51.45
4/15/2020 16:00:00,50.96
4/16/2020 16:00:00,53.11
4/17/2020 16:00:00,52.35
4/20/2020 16:00:00,52.46
4/21/2020 16:00:00,51.07
4/22/2020 16:00:00,52.86
4/23/2020 16:00:00,52.46
4/24/2020 16:00:00,52.85
4/27/2020 16:00:00,53.3
4/28/2020 16:00:00,53.44
4/29/2020 16:00:00,54.05
4/30/2020 16:00:00,52.62
5/1/2020 16:00:00,51.05
5/4/2020 16:00:00,51.57
5/5/2020 16:00:00,52.17
5/6/2020 16:00:00,52.56
5/7/2020 16:00:00,52.75
5/8/2020 16:00:00,54.57
5/11/2020 16:00:00,55.96
5/12/2020 16:00:00,55.35
5/13/2020 16:00:00,57.83
