Date,Close
2/12/2014,13.85
2/13/2014,14.06
2/14/2014,14.35
2/18/2014,15.08
2/19/2014,15.04
2/20/2014,14.72
2/21/2014,14.96
2/24/2014,15.09
2/25/2014,15.03
2/26/2014,15.02
2/27/2014,15.87
2/28/2014,16.02
3/3/2014,15.55
3/4/2014,15.97
3/5/2014,16.13
3/6/2014,16.62
3/7/2014,16.25
3/10/2014,15.99
3/11/2014,15.81
3/12/2014,15.63
3/13/2014,14.85
3/14/2014,14.43
3/17/2014,14.19
3/18/2014,15.07
3/19/2014,14.41
3/20/2014,14.48
3/21/2014,14.93
3/24/2014,15.02
3/25/2014,14.51
3/26/2014,14.12
3/27/2014,13.42
3/28/2014,13.89
3/31/2014,13.82
4/1/2014,14.62
4/2/2014,14.55
4/3/2014,14.07
4/4/2014,13.25
4/7/2014,12.75
4/8/2014,13.33
4/9/2014,13.82
4/10/2014,14.2
4/11/2014,13.46
4/14/2014,13.63
4/15/2014,13.27
4/16/2014,13.59
4/17/2014,13.64
4/21/2014,13.68
4/22/2014,13.64
4/23/2014,13.46
4/24/2014,13.57
4/25/2014,13.14
4/28/2014,12.92
4/29/2014,13.26
4/30/2014,12.44
5/1/2014,12.67
5/2/2014,12.75
5/5/2014,12.6
5/6/2014,12.45
5/7/2014,12.04
5/8/2014,12.2
5/9/2014,12.34
5/12/2014,13.1
5/13/2014,13.1
5/14/2014,14.21
5/15/2014,13.94
5/16/2014,13.9
5/19/2014,13.98
5/20/2014,14.44
5/21/2014,14.62
5/22/2014,14.67
5/23/2014,14.4
5/26/2014,14.4
5/27/2014,14.37
5/28/2014,14.6
5/29/2014,14.25
5/30/2014,14.12
6/2/2014,14.19
6/3/2014,14.4
6/4/2014,14.11
6/5/2014,14.2
6/6/2014,14.09
6/9/2014,14.39
6/10/2014,14.67
6/11/2014,14.83
6/12/2014,14.73
6/13/2014,14.92
6/16/2014,14.89
6/17/2014,14.9
6/18/2014,15.11
6/19/2014,14.91
6/20/2014,14.83
6/23/2014,14.74
6/24/2014,14.8
6/25/2014,14.94
6/26/2014,15.24
6/27/2014,15.26
6/30/2014,15.27
7/1/2014,15.44
7/2/2014,15.78
7/3/2014,16.12
7/7/2014,16.09
7/8/2014,15.8
7/9/2014,15.75
7/10/2014,15.57
7/11/2014,15.74
7/14/2014,15.95
7/15/2014,15.89
7/16/2014,16.11
7/17/2014,15.67
7/18/2014,15.9
7/21/2014,15.78
7/22/2014,16.05
7/23/2014,15.96
7/24/2014,16.08
7/25/2014,16.1
7/28/2014,16.78
7/29/2014,16.83
7/30/2014,16.57
7/31/2014,16.23
8/1/2014,16.52
8/4/2014,16.8
8/5/2014,17.01
8/6/2014,16.9
8/7/2014,16.42
8/8/2014,16.86
8/11/2014,17.09
8/12/2014,17.27
8/13/2014,17.57
8/14/2014,16.91
8/15/2014,16.82
8/18/2014,16.72
8/19/2014,16.78
8/20/2014,17.05
8/21/2014,16.77
8/22/2014,16.74
8/25/2014,16.73
8/26/2014,16.74
8/27/2014,16.54
8/28/2014,16.32
8/29/2014,16.22
9/2/2014,16.25
9/3/2014,16.61
9/4/2014,16.67
9/5/2014,16.63
9/8/2014,16.12
9/9/2014,15.99
9/10/2014,15.7
9/11/2014,15.62
9/12/2014,15.69
9/15/2014,15.71
9/16/2014,15.72
9/17/2014,15.81
9/18/2014,15.91
9/19/2014,16.02
9/22/2014,15.4
9/23/2014,15.2
9/24/2014,15.33
9/25/2014,15.01
9/26/2014,15.11
9/29/2014,14.76
9/30/2014,14.82
10/1/2014,14.47
10/2/2014,14.42
10/3/2014,14.92
10/6/2014,15.41
10/7/2014,15.23
10/8/2014,15.43
10/9/2014,14.96
10/10/2014,14.66
10/13/2014,14.75
10/14/2014,14.6
10/15/2014,14.65
10/16/2014,14.51
10/17/2014,14.62
10/20/2014,14.73
10/21/2014,15.11
10/22/2014,15.17
10/23/2014,15.49
10/24/2014,15.4
10/27/2014,15.18
10/28/2014,15.66
10/29/2014,15.65
10/30/2014,15.84
10/31/2014,16.05
11/3/2014,15.82
11/4/2014,15.83
11/5/2014,16.01
11/6/2014,16.03
11/7/2014,15.81
11/10/2014,16.2
11/11/2014,16.45
11/12/2014,16.14
11/13/2014,16.63
11/14/2014,17.32
11/17/2014,16.72
11/18/2014,16.26
11/19/2014,15.98
11/20/2014,16.13
11/21/2014,16.35
11/24/2014,16.15
11/25/2014,16.06
11/26/2014,16.25
11/28/2014,15.99
12/1/2014,15.38
12/2/2014,15.57
12/3/2014,15.31
12/4/2014,15.22
12/5/2014,15.41
12/8/2014,15.05
12/9/2014,14.82
12/10/2014,14.62
12/11/2014,14.62
12/12/2014,14.44
12/15/2014,14.13
12/16/2014,13.89
12/17/2014,13.89
12/18/2014,14.52
12/19/2014,15.05
12/22/2014,14.7
12/23/2014,14.6
12/24/2014,14.51
12/26/2014,14.89
12/29/2014,14.55
12/30/2014,14.48
12/31/2014,14.51
1/2/2015,14.38
1/5/2015,14.6
1/6/2015,15.29
1/7/2015,16.23
1/8/2015,16.6
1/9/2015,16.51
1/12/2015,16.2
1/13/2015,16.44
1/14/2015,16.17
1/15/2015,16.1
1/16/2015,15.8
1/20/2015,16.06
1/21/2015,16.6
1/22/2015,17.1
1/23/2015,17.09
1/26/2015,17.68
1/27/2015,17.42
1/28/2015,17.43
1/29/2015,17.36
1/30/2015,16.82
2/2/2015,17.35
2/3/2015,17.4
2/4/2015,17.35
2/5/2015,17.43
2/6/2015,17.16
2/9/2015,17.01
2/10/2015,17.14
2/11/2015,16.97
2/12/2015,16.73
2/13/2015,16.79
2/17/2015,16.89
2/18/2015,16.65
2/19/2015,16.72
2/20/2015,16.86
2/23/2015,17.21
2/24/2015,17.4
2/25/2015,17.45
2/26/2015,17.35
2/27/2015,17.41
3/2/2015,17.55
3/3/2015,17.35
3/4/2015,17.12
3/5/2015,16.99
3/6/2015,16.75
3/9/2015,17.06
3/10/2015,16.73
3/11/2015,16.84
3/12/2015,17.05
3/13/2015,17.1
3/16/2015,17.55
3/17/2015,17.65
3/18/2015,17.28
3/19/2015,18.66
3/20/2015,18.58
3/23/2015,19
3/24/2015,18.45
3/25/2015,18.17
3/26/2015,18.15
3/27/2015,18.67
3/30/2015,18.76
3/31/2015,18.97
4/1/2015,19.07
4/2/2015,19.39
4/6/2015,19.58
4/7/2015,19.57
4/8/2015,20.29
4/9/2015,21.17
4/10/2015,21.05
4/13/2015,21.62
4/14/2015,20.77
4/15/2015,20.25
4/16/2015,20.65
4/17/2015,19.85
4/20/2015,19.85
4/21/2015,20.61
