Date,Close
7/7/2015,56.1
7/8/2015,54.8
7/9/2015,54.73
7/10/2015,55.11
7/13/2015,56.32
7/14/2015,55.63
7/15/2015,54.76
7/16/2015,52.58
7/17/2015,51.93
7/20/2015,52.1
7/21/2015,51.82
7/22/2015,51.67
7/23/2015,52.84
7/24/2015,51.25
7/27/2015,51.04
7/28/2015,51.92
7/29/2015,51.74
7/30/2015,52.06
7/31/2015,53.05
8/3/2015,52.54
8/4/2015,51.85
8/5/2015,52.64
8/6/2015,51.95
8/7/2015,52.35
8/10/2015,54.15
8/11/2015,53.01
8/12/2015,53.28
8/13/2015,51.52
8/14/2015,51.2
8/17/2015,51.83
8/18/2015,50.19
8/19/2015,50.01
8/20/2015,48.44
8/21/2015,47.7
8/24/2015,46.97
8/25/2015,46.32
8/26/2015,48.11
8/27/2015,49.59
8/28/2015,49.89
8/31/2015,50.11
9/1/2015,48.03
9/2/2015,48.66
9/3/2015,48.83
9/4/2015,47.54
9/8/2015,49.8
9/9/2015,49.35
9/10/2015,51.48
9/11/2015,51.21
9/14/2015,52.18
9/15/2015,52.58
9/16/2015,53.19
9/17/2015,51.31
9/18/2015,50.42
9/21/2015,49.2
9/22/2015,49.4
9/23/2015,47.88
9/24/2015,48.2
9/25/2015,48.61
9/28/2015,48.49
9/29/2015,48.18
9/30/2015,50
10/1/2015,49.6
10/2/2015,50.43
10/5/2015,51.73
10/6/2015,52.47
10/7/2015,52.67
10/8/2015,53.29
10/9/2015,53.19
10/12/2015,52.82
10/13/2015,51.59
10/14/2015,52.59
10/15/2015,52.65
10/16/2015,52.97
10/19/2015,53.12
10/20/2015,53.86
10/21/2015,63.98
10/22/2015,64.9
10/23/2015,65.35
10/26/2015,65.29
10/27/2015,65.34
10/28/2015,65.81
10/29/2015,66.32
10/30/2015,67.12
11/2/2015,66.55
11/3/2015,66.5
11/4/2015,66.83
11/5/2015,67
11/6/2015,66.85
11/9/2015,66.92
11/10/2015,66.76
11/11/2015,66.9
11/12/2015,65.86
11/13/2015,65.68
11/16/2015,66.35
11/17/2015,66.69
11/18/2015,67.1
11/19/2015,66.9
11/20/2015,67.02
11/23/2015,66.66
11/24/2015,66.46
11/25/2015,66.37
11/27/2015,66.54
11/30/2015,66.47
12/1/2015,67.9
12/2/2015,67.72
12/3/2015,66.61
12/4/2015,67.57
12/7/2015,67.48
12/8/2015,68.73
12/9/2015,67.58
12/10/2015,68.49
12/11/2015,67.87
12/14/2015,67.63
12/15/2015,68.88
12/16/2015,69.08
12/17/2015,68.05
12/18/2015,66.86
12/21/2015,68.37
12/22/2015,69.08
12/23/2015,69.25
12/24/2015,69.51
12/28/2015,69.4
12/29/2015,69.9
12/30/2015,69.69
12/31/2015,69.35
1/4/2016,68.69
1/5/2016,68.74
1/6/2016,66.58
1/7/2016,65.94
1/8/2016,65.24
1/11/2016,65.51
1/12/2016,65.75
1/13/2016,64.78
1/14/2016,66.66
