Date,Close
10/21/2014,106.67
10/22/2014,106.09
10/23/2014,107.18
10/24/2014,110.71
10/27/2014,112.59
10/28/2014,113.45
10/29/2014,110.72
10/30/2014,114.22
10/31/2014,112
11/3/2014,109.98
11/4/2014,109.72
11/5/2014,106.05
11/6/2014,106.94
11/7/2014,106.45
11/10/2014,107.02
11/11/2014,108.01
11/12/2014,106.9
11/13/2014,104.2
11/14/2014,102.06
11/17/2014,100.44
11/18/2014,103.71
11/19/2014,102.34
11/20/2014,100.59
11/21/2014,100.58
11/24/2014,100.6
11/25/2014,101.11
11/26/2014,100.3
11/28/2014,100.32
12/1/2014,100.55
12/2/2014,102.19
12/3/2014,100.88
12/4/2014,101.82
12/5/2014,104.59
12/8/2014,105.56
12/9/2014,105.91
12/10/2014,104.84
12/11/2014,104.31
12/12/2014,104.13
12/15/2014,103.16
12/16/2014,100.46
12/17/2014,102.4
12/18/2014,105.54
12/19/2014,108.45
12/22/2014,92.9
12/23/2014,89.45
12/24/2014,91.29
12/26/2014,93.79
12/29/2014,97.3
12/30/2014,95.28
12/31/2014,94.26
1/2/2015,94.91
1/5/2015,96.79
1/6/2015,97.65
1/7/2015,99.48
1/8/2015,102.3
1/9/2015,102.21
1/12/2015,101.21
1/13/2015,97.21
1/14/2015,99.26
1/15/2015,97.4
1/16/2015,100.71
1/20/2015,103.78
1/21/2015,103.58
1/22/2015,105.14
1/23/2015,105.54
1/26/2015,107.11
1/27/2015,105.03
1/28/2015,102.45
1/29/2015,104.18
1/30/2015,104.83
2/2/2015,106.19
2/3/2015,107.18
2/4/2015,98.43
2/5/2015,99.9
2/6/2015,97.48
2/9/2015,96.9
2/10/2015,98.32
2/11/2015,99.98
2/12/2015,100.8
2/13/2015,101.9
2/17/2015,103.84
2/18/2015,103.94
2/19/2015,102.73
2/20/2015,102.61
2/23/2015,104.51
2/24/2015,104.7
2/25/2015,104.43
2/26/2015,104.19
2/27/2015,103.53
3/2/2015,103.83
3/3/2015,102.79
3/4/2015,103.06
3/5/2015,103.42
3/6/2015,101.81
3/9/2015,101.37
3/10/2015,98.83
3/11/2015,98.97
3/12/2015,99.93
3/13/2015,99.61
3/16/2015,101.3
3/17/2015,100.44
3/18/2015,100.28
3/19/2015,101.44
3/20/2015,102.29
3/23/2015,100.26
3/24/2015,101.41
3/25/2015,99.86
3/26/2015,101.08
3/27/2015,101
3/30/2015,100.69
3/31/2015,98.13
4/1/2015,97.72
4/2/2015,98.43
4/6/2015,97.79
4/7/2015,98.69
4/8/2015,99.87
4/9/2015,101.16
4/10/2015,101.77
4/13/2015,102.28
4/14/2015,102.21
4/15/2015,104.03
4/16/2015,103.34
4/17/2015,101.38
4/20/2015,100.66
4/21/2015,105.2
4/22/2015,104.18
4/23/2015,105.21
4/24/2015,103.7
4/27/2015,102.94
4/28/2015,103.72
4/29/2015,102.32
4/30/2015,100.51
5/1/2015,105.01
5/4/2015,105.66
5/5/2015,102.99
5/6/2015,102.27
5/7/2015,101.79
5/8/2015,103.85
5/11/2015,104.73
5/12/2015,105.56
5/13/2015,106.39
5/14/2015,108.74
5/15/2015,109.3
5/18/2015,111
5/19/2015,110.56
5/20/2015,110.17
5/21/2015,111.22
5/22/2015,111.71
5/26/2015,109.77
5/27/2015,112.46
5/28/2015,112.85
5/29/2015,112.27
6/1/2015,114.08
6/2/2015,113.94
6/3/2015,114.65
6/4/2015,113.93
6/5/2015,113.96
6/8/2015,113.7
6/9/2015,114.75
6/10/2015,117.67
6/11/2015,119.13
6/12/2015,117.66
6/15/2015,118.16
6/16/2015,119.07
6/17/2015,118.88
6/18/2015,121.21
6/19/2015,119.8
6/22/2015,121.49
6/23/2015,122.21
6/24/2015,122.01
6/25/2015,120.23
6/26/2015,119.5
6/29/2015,115.46
6/30/2015,117.08
7/1/2015,116.01
7/2/2015,115.04
7/6/2015,115.66
7/7/2015,115.13
7/8/2015,112.94
7/9/2015,113.36
7/10/2015,113.74
7/13/2015,114.55
7/14/2015,117.36
7/15/2015,117.39
7/16/2015,118.85
7/17/2015,118.26
7/20/2015,118.2
7/21/2015,117.78
7/22/2015,117.44
7/23/2015,117.66
7/24/2015,112.83
7/27/2015,110.54
7/28/2015,113.07
7/29/2015,115.71
7/30/2015,117.9
7/31/2015,117.86
8/3/2015,119.6
8/4/2015,118.87
8/5/2015,118.66
8/6/2015,115.3
8/7/2015,114.44
8/10/2015,116.58
8/11/2015,115.61
8/12/2015,116.25
8/13/2015,115.2
8/14/2015,115.6
8/17/2015,116.42
8/18/2015,117.06
8/19/2015,116.21
8/20/2015,112.39
8/21/2015,105.33
8/24/2015,100.66
8/25/2015,102.56
8/26/2015,106.96
8/27/2015,107.99
8/28/2015,107.78
8/31/2015,105.07
9/1/2015,101.49
9/2/2015,104.27
9/3/2015,101.91
9/4/2015,102.06
9/8/2015,104.9
9/9/2015,103.82
9/10/2015,107.25
9/11/2015,109.63
9/14/2015,109.35
9/15/2015,111.05
9/16/2015,111.03
9/17/2015,111.61
9/18/2015,108.44
9/21/2015,105.74
9/22/2015,106.51
9/23/2015,105.49
9/24/2015,102.51
9/25/2015,100.14
9/28/2015,94.8
9/29/2015,96
9/30/2015,98.19
10/1/2015,98.27
10/2/2015,98.28
10/5/2015,99.26
10/6/2015,97.54
10/7/2015,100.27
10/8/2015,100.81
10/9/2015,100.65
10/12/2015,99.51
10/13/2015,98.19
10/14/2015,98.39
10/15/2015,101.64
10/16/2015,102.83
10/19/2015,103.61
10/20/2015,101.66
10/21/2015,101.73
10/22/2015,107.6
10/23/2015,107.99
10/26/2015,108.63
10/27/2015,110.96
10/28/2015,108.13
10/29/2015,109.21
10/30/2015,108.13
11/2/2015,109.6
11/3/2015,109.1
11/4/2015,108.98
11/5/2015,107.83
11/6/2015,108.34
11/9/2015,108.11
11/10/2015,108.85
11/11/2015,107.19
11/12/2015,104.23
11/13/2015,102.57
11/16/2015,103.81
11/17/2015,104.53
11/18/2015,108.13
11/19/2015,106.51
11/20/2015,106.54
11/23/2015,106.36
11/24/2015,106.57
11/25/2015,107.78
11/27/2015,108
11/30/2015,105.96
12/1/2015,105.85
12/2/2015,104.44
12/3/2015,101.38
12/4/2015,104.07
12/7/2015,102.91
12/8/2015,103.53
12/9/2015,101.95
12/10/2015,102.62
12/11/2015,100.03
12/14/2015,100.49
12/15/2015,101.97
12/16/2015,103.34
12/17/2015,102.36
12/18/2015,101.6
12/21/2015,102.63
12/22/2015,102.86
12/23/2015,103.14
12/24/2015,103.58
12/28/2015,101.68
12/29/2015,103.36
12/30/2015,102.16
12/31/2015,101.19
1/4/2016,98.01
1/5/2016,99.26
1/6/2016,100.3
1/7/2016,96.25
1/8/2016,96.45
1/11/2016,96.5
1/12/2016,97.1
1/13/2016,92.54
1/14/2016,93.02
1/15/2016,91.84
1/19/2016,89.9
1/20/2016,90.55
1/21/2016,88.87
1/22/2016,91.83
1/25/2016,90.61
1/26/2016,92.21
1/27/2016,89.63
1/28/2016,87.53
1/29/2016,83
2/1/2016,84.05
2/2/2016,82.71
2/3/2016,86.39
2/4/2016,86.68
2/5/2016,85.14
2/8/2016,85.26
2/9/2016,87.25
2/10/2016,87.8
2/11/2016,87.36
2/12/2016,89.44
2/16/2016,91.15
2/17/2016,89.36
2/18/2016,88.99
2/19/2016,87.44
2/22/2016,89.1
2/23/2016,88.35
2/24/2016,89.36
2/25/2016,90.16
2/26/2016,88.1
2/29/2016,87.25
3/1/2016,89.69
3/2/2016,88.8
3/3/2016,87.83
3/4/2016,87.21
3/7/2016,89.65
3/8/2016,88.66
3/9/2016,87.83
3/10/2016,88.64
3/11/2016,89.65
3/14/2016,90.46
3/15/2016,89.44
3/16/2016,90.28
3/17/2016,89.53
3/18/2016,90.27
3/21/2016,92.67
3/22/2016,93.72
3/23/2016,90.08
3/24/2016,91.32
3/28/2016,92.46
3/29/2016,92.2
3/30/2016,91.97
3/31/2016,91.86
4/1/2016,94.12
4/4/2016,94.24
4/5/2016,95.57
4/6/2016,97.44
4/7/2016,95.57
4/8/2016,96.09
4/11/2016,95.83
4/12/2016,97.24
4/13/2016,97.19
4/14/2016,98.19
4/15/2016,98.29
4/18/2016,99.2
4/19/2016,99.44
4/20/2016,100.11
4/21/2016,101.74
4/22/2016,101.93
